r,g,b,digit,VAE log-likelihood,WWDC* conditional log-likelihood,WWDC* unconditional log-likelihood,image,projection_x,projection_y
0.88821226,0.6544141,0.26062915,5,13.580863952636719,-75.99646759033203,-75.45956420898438,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_45.png"" alt=""drawing"" style=""width:56px;""/>",0.7850458,-4.4716177
0.20209041,0.56951493,0.73444706,1,40.959388732910156,-71.32950592041016,-71.02639770507812,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_46.png"" alt=""drawing"" style=""width:56px;""/>",4.9710994,2.383439
0.50326705,0.6499869,0.7483501,2,-8.602973937988281,-90.92811584472656,-88.68287658691406,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_47.png"" alt=""drawing"" style=""width:56px;""/>",-9.118191,4.393931
0.3456651,0.82847387,0.7984823,4,8.12115478515625,-72.84703826904297,-77.0401611328125,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_48.png"" alt=""drawing"" style=""width:56px;""/>",9.145203,1.370351
0.6697464,0.7068725,0.36187816,4,9.445297241210938,-69.44874572753906,-73.16124725341797,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_49.png"" alt=""drawing"" style=""width:56px;""/>",6.068081,0.68262506
0.7329271,0.55957526,0.24888085,6,6.184974670410156,-73.9819564819336,-74.81387329101562,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_50.png"" alt=""drawing"" style=""width:56px;""/>",-1.3674738,-3.2454917
0.8651255,0.9260648,0.40599754,3,32.39226531982422,-74.50072479248047,-76.5023193359375,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_51.png"" alt=""drawing"" style=""width:56px;""/>",4.241051,-0.37576136
0.06088714,0.33801758,0.25372964,5,12.408500671386719,-76.76313018798828,-72.4041748046875,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_52.png"" alt=""drawing"" style=""width:56px;""/>",-6.4412055,4.8450155
0.23943906,0.20312752,0.7444158,5,29.702072143554688,-68.58690643310547,-70.6046142578125,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_53.png"" alt=""drawing"" style=""width:56px;""/>",3.2449715,-0.64530975
0.2811273,0.61239034,0.3532635,6,-4.17059326171875,-75.63546752929688,-75.85832214355469,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_54.png"" alt=""drawing"" style=""width:56px;""/>",3.7698557,4.261165
0.90298176,0.6616411,0.32714644,0,36.184326171875,-72.34132385253906,-72.00377655029297,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_55.png"" alt=""drawing"" style=""width:56px;""/>",2.0125427,-3.3208375
0.3804583,0.38528562,0.15150155,4,-6.791049957275391,-69.55625915527344,-67.96737670898438,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_56.png"" alt=""drawing"" style=""width:56px;""/>",6.5558996,-0.66419774
0.3759024,0.7685199,0.84167403,1,50.155853271484375,-74.79581451416016,-71.45851135253906,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_57.png"" alt=""drawing"" style=""width:56px;""/>",-2.8075936,4.199318
0.39939234,0.8107684,0.78299296,9,17.99590301513672,-69.89228820800781,-75.2686767578125,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_58.png"" alt=""drawing"" style=""width:56px;""/>",1.1207818,6.578279
0.10934521,0.16597877,0.42585757,5,0.8514862060546875,-71.76937103271484,-70.84766387939453,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_59.png"" alt=""drawing"" style=""width:56px;""/>",-7.406032,-4.279202
0.43981117,0.6965698,0.59107184,7,8.797416687011719,-75.58003997802734,-76.43524932861328,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_60.png"" alt=""drawing"" style=""width:56px;""/>",3.3170755,9.090028
0.52585185,0.5236262,0.83871895,8,10.841331481933594,-74.88573455810547,-75.0710678100586,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_61.png"" alt=""drawing"" style=""width:56px;""/>",4.435118,-3.6974874
0.2211746,0.71724814,0.70245945,9,10.892860412597656,-86.10643768310547,-77.69760131835938,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_62.png"" alt=""drawing"" style=""width:56px;""/>",7.2339096,0.5660536
0.8968255,0.06434719,0.35430503,3,3.3376083374023438,-77.14383697509766,-77.97799682617188,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_63.png"" alt=""drawing"" style=""width:56px;""/>",5.227537,-4.077306
0.15936486,0.07508552,0.16558282,7,24.006790161132812,-73.07240295410156,-67.09700012207031,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_64.png"" alt=""drawing"" style=""width:56px;""/>",6.0477443,-1.1771894
0.8441399,0.8819214,0.4221387,4,18.030624389648438,-79.39183044433594,-81.1258773803711,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_65.png"" alt=""drawing"" style=""width:56px;""/>",-6.605024,7.8132424
0.50404465,0.65507233,0.1939666,6,10.062942504882812,-76.8829345703125,-73.08981323242188,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_66.png"" alt=""drawing"" style=""width:56px;""/>",5.8599343,-5.0465317
0.665517,0.8758601,0.35629347,4,-3.352996826171875,-73.22470092773438,-78.00484466552734,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_67.png"" alt=""drawing"" style=""width:56px;""/>",7.523372,-1.7669818
0.50389093,0.4613919,0.43658093,3,27.057411193847656,-68.37390899658203,-67.76709747314453,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_68.png"" alt=""drawing"" style=""width:56px;""/>",0.95558834,-6.223163
0.31016538,0.23829637,0.9161567,0,-40.239173889160156,-76.52825164794922,-72.54987335205078,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_69.png"" alt=""drawing"" style=""width:56px;""/>",9.016575,-5.762857
0.1159243,0.14623396,0.34838244,7,4.866050720214844,-71.2223129272461,-72.76593017578125,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_70.png"" alt=""drawing"" style=""width:56px;""/>",-1.4165052,-7.515047
0.75984365,0.5739592,0.9491576,0,8.381187438964844,-82.33908081054688,-83.50592041015625,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_71.png"" alt=""drawing"" style=""width:56px;""/>",0.6510637,-8.431633
0.2244175,0.703721,0.77816254,2,-11.002456665039062,-79.01496124267578,-81.63864135742188,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_72.png"" alt=""drawing"" style=""width:56px;""/>",9.407142,-4.832218
0.16610698,0.49889633,0.2620746,9,42.682334899902344,-75.88807678222656,-70.3113021850586,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_73.png"" alt=""drawing"" style=""width:56px;""/>",-3.81628,-0.8354152
0.19536681,0.3976557,0.7479889,1,65.69271850585938,-72.31649780273438,-71.13909149169922,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_74.png"" alt=""drawing"" style=""width:56px;""/>",-3.8670459,4.8537445
0.72424847,0.11760299,0.90991646,7,14.163070678710938,-77.86754608154297,-79.34068298339844,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_75.png"" alt=""drawing"" style=""width:56px;""/>",-0.3674786,3.4914558
0.5139623,0.16778438,0.7549441,3,9.1700439453125,-70.69149780273438,-70.90902709960938,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_76.png"" alt=""drawing"" style=""width:56px;""/>",0.7969296,2.5679696
0.6805779,0.17851117,0.22423543,2,-10.581718444824219,-77.33709716796875,-78.99179077148438,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_77.png"" alt=""drawing"" style=""width:56px;""/>",4.3820376,6.830507
0.68126196,0.24356675,0.94352543,9,14.454048156738281,-79.13591003417969,-79.42526245117188,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_78.png"" alt=""drawing"" style=""width:56px;""/>",-5.0621815,-3.4617238
0.5490551,0.14853802,0.8150412,7,27.120628356933594,-71.15741729736328,-71.4552993774414,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_79.png"" alt=""drawing"" style=""width:56px;""/>",-1.4986202,-6.729153
0.58406746,0.088388845,0.34785214,7,37.249114990234375,-69.42150115966797,-69.90167999267578,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_80.png"" alt=""drawing"" style=""width:56px;""/>",2.966393,1.3720481
0.91498977,0.40125218,0.18063639,6,-3.9434585571289062,-71.92432403564453,-69.02033233642578,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_81.png"" alt=""drawing"" style=""width:56px;""/>",0.7618046,-1.3684025
0.21159092,0.5662138,0.49828172,2,23.55060577392578,-70.65531921386719,-69.84308624267578,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_82.png"" alt=""drawing"" style=""width:56px;""/>",4.8532166,-4.4891396
0.33321822,0.85546374,0.5915815,7,36.168785095214844,-69.34138488769531,-71.17791748046875,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_83.png"" alt=""drawing"" style=""width:56px;""/>",4.771013,1.5494276
0.90534663,0.053309686,0.5568396,8,7.570671081542969,-75.992431640625,-78.6678237915039,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_84.png"" alt=""drawing"" style=""width:56px;""/>",8.964336,-0.87985027
0.31383824,0.43819487,0.07794277,4,12.235221862792969,-67.94020080566406,-68.12024688720703,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_85.png"" alt=""drawing"" style=""width:56px;""/>",-0.26543677,-0.7049747
0.26099452,0.81651294,0.5069976,7,19.052635192871094,-72.4474105834961,-73.0067138671875,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_86.png"" alt=""drawing"" style=""width:56px;""/>",-0.12474755,-7.632593
0.14759727,0.20229694,0.806768,3,-4.562461853027344,-81.3410873413086,-79.19953155517578,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_87.png"" alt=""drawing"" style=""width:56px;""/>",1.9590743,-10.125585
0.31426138,0.14570749,0.63203055,6,8.225509643554688,-71.28153228759766,-68.9327163696289,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_88.png"" alt=""drawing"" style=""width:56px;""/>",4.791505,1.1318375
0.8990957,0.25431877,0.06157593,1,28.6917724609375,-74.02749633789062,-70.94548797607422,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_89.png"" alt=""drawing"" style=""width:56px;""/>",-0.49615914,-4.7656035
0.32082984,0.12056409,0.2850911,3,21.183761596679688,-68.58058166503906,-69.7462158203125,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_90.png"" alt=""drawing"" style=""width:56px;""/>",2.4152925,-3.2575696
0.8330223,0.73809177,0.83310264,6,11.887451171875,-79.6677017211914,-80.4403305053711,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_91.png"" alt=""drawing"" style=""width:56px;""/>",9.030625,2.1222882
0.2122496,0.47046202,0.65082353,9,30.730567932128906,-77.54129028320312,-70.20281982421875,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_92.png"" alt=""drawing"" style=""width:56px;""/>",2.445124,-4.43518
0.12627017,0.46639267,0.5145522,3,31.111160278320312,-67.10371398925781,-68.94647979736328,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_93.png"" alt=""drawing"" style=""width:56px;""/>",0.08214442,-7.7132244
0.6089162,0.10573368,0.24387,1,37.3719482421875,-71.56658935546875,-69.76734924316406,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_94.png"" alt=""drawing"" style=""width:56px;""/>",-2.8694098,2.4435067
0.27951664,0.25260195,0.270054,4,26.513153076171875,-71.1751480102539,-67.53719329833984,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_95.png"" alt=""drawing"" style=""width:56px;""/>",-0.8932775,-1.5934196
0.054294538,0.62611294,0.1741734,1,26.406105041503906,-73.44947052001953,-70.068603515625,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_96.png"" alt=""drawing"" style=""width:56px;""/>",-2.213541,5.734941
0.90034854,0.86804503,0.903227,7,-10.211494445800781,-95.12555694580078,-102.60293579101562,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_97.png"" alt=""drawing"" style=""width:56px;""/>",-7.5753584,-2.014964
0.53139347,0.056169726,0.6799126,6,21.06639862060547,-74.53010559082031,-70.3260726928711,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_98.png"" alt=""drawing"" style=""width:56px;""/>",-0.58919,-0.6981503
0.105058506,0.5384685,0.2577536,9,36.85511779785156,-69.40281677246094,-68.38623809814453,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_99.png"" alt=""drawing"" style=""width:56px;""/>",-1.9847559,3.005975
0.44331896,0.59361947,0.937119,6,16.52259063720703,-74.51620483398438,-73.52362823486328,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_100.png"" alt=""drawing"" style=""width:56px;""/>",-9.620934,3.5250628
0.72503793,0.9449695,0.4018913,0,32.28411865234375,-78.70575714111328,-82.95901489257812,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_101.png"" alt=""drawing"" style=""width:56px;""/>",-8.755084,1.2634374
0.1490934,0.36072308,0.584462,5,16.289100646972656,-70.9507827758789,-72.3192138671875,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_102.png"" alt=""drawing"" style=""width:56px;""/>",-2.3390229,-4.8092055
0.1719506,0.61874574,0.2643363,4,51.63616180419922,-71.39281463623047,-72.9509506225586,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_103.png"" alt=""drawing"" style=""width:56px;""/>",3.8718424,2.9901962
0.38912135,0.2737708,0.8848656,9,33.07716369628906,-76.19310760498047,-70.6722183227539,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_104.png"" alt=""drawing"" style=""width:56px;""/>",5.00908,4.206953
0.35966307,0.050846826,0.6056618,9,46.97607421875,-66.99128723144531,-68.15579986572266,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_105.png"" alt=""drawing"" style=""width:56px;""/>",6.117877,3.618711
0.8806727,0.34878403,0.27749896,2,11.500869750976562,-71.42758178710938,-74.05840301513672,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_106.png"" alt=""drawing"" style=""width:56px;""/>",5.9067826,-0.74714637
0.66595024,0.55585694,0.7223455,1,55.946983337402344,-72.2209243774414,-71.88775634765625,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_107.png"" alt=""drawing"" style=""width:56px;""/>",-4.5012426,1.5949162
0.75884277,0.08160619,0.1687887,9,26.755645751953125,-69.81851959228516,-70.8910903930664,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_108.png"" alt=""drawing"" style=""width:56px;""/>",4.8045754,0.6040316
0.52027893,0.29883283,0.06863293,4,2.8197860717773438,-69.90580749511719,-67.19068145751953,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_109.png"" alt=""drawing"" style=""width:56px;""/>",-0.8537473,2.1924257
0.10334216,0.6491482,0.060761344,8,29.387184143066406,-69.5339584350586,-71.11102294921875,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_110.png"" alt=""drawing"" style=""width:56px;""/>",-0.9563523,-1.5523582
0.30668554,0.7004822,0.5436917,7,20.06787109375,-71.0316390991211,-66.82306671142578,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_111.png"" alt=""drawing"" style=""width:56px;""/>",-7.051306,-6.509206
0.9037041,0.50094974,0.5490682,3,-5.949470520019531,-75.14990234375,-78.16448974609375,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_112.png"" alt=""drawing"" style=""width:56px;""/>",-0.18445185,4.842844
0.4015211,0.11067575,0.9131842,9,25.73375701904297,-70.35492706298828,-70.40445709228516,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_113.png"" alt=""drawing"" style=""width:56px;""/>",1.643502,2.5437493
